"","date","price"
"1",1987-05-01,18.58
"2",1987-06-01,18.86
"3",1987-07-01,19.86
"4",1987-08-01,18.98
"5",1987-09-01,18.31
"6",1987-10-01,18.76
"7",1987-11-01,17.78
"8",1987-12-01,17.05
"9",1988-01-01,16.75
"10",1988-02-01,15.73
"11",1988-03-01,14.73
"12",1988-04-01,16.6
"13",1988-05-01,16.31
"14",1988-06-01,15.54
"15",1988-07-01,14.91
"16",1988-08-01,14.89
"17",1988-09-01,13.18
"18",1988-10-01,12.41
"19",1988-11-01,13.02
"20",1988-12-01,15.31
"21",1989-01-01,17.17
"22",1989-02-01,16.89
"23",1989-03-01,18.7
"24",1989-04-01,20.32
"25",1989-05-01,18.63
"26",1989-06-01,17.67
"27",1989-07-01,17.62
"28",1989-08-01,16.77
"29",1989-09-01,17.77
"30",1989-10-01,18.91
"31",1989-11-01,18.73
"32",1989-12-01,19.84
"33",1990-01-01,21.25
"34",1990-02-01,19.81
"35",1990-03-01,18.39
"36",1990-04-01,16.61
"37",1990-05-01,16.35
"38",1990-06-01,15.1
"39",1990-07-01,17.17
"40",1990-08-01,27.17
"41",1990-09-01,34.9
"42",1990-10-01,36.02
"43",1990-11-01,33.07
"44",1990-12-01,28.27
"45",1991-01-01,23.57
"46",1991-02-01,19.54
"47",1991-03-01,19.08
"48",1991-04-01,19.18
"49",1991-05-01,19.19
"50",1991-06-01,18.17
"51",1991-07-01,19.4
"52",1991-08-01,19.77
"53",1991-09-01,20.5
"54",1991-10-01,22.21
"55",1991-11-01,21.11
"56",1991-12-01,18.41
"57",1992-01-01,18.16
"58",1992-02-01,18.05
"59",1992-03-01,17.63
"60",1992-04-01,18.92
"61",1992-05-01,19.89
"62",1992-06-01,21.16
"63",1992-07-01,20.24
"64",1992-08-01,19.74
"65",1992-09-01,20.27
"66",1992-10-01,20.26
"67",1992-11-01,19.21
"68",1992-12-01,18.14
"69",1993-01-01,17.39
"70",1993-02-01,18.47
"71",1993-03-01,18.79
"72",1993-04-01,18.67
"73",1993-05-01,18.51
"74",1993-06-01,17.65
"75",1993-07-01,16.78
"76",1993-08-01,16.7
"77",1993-09-01,16.01
"78",1993-10-01,16.61
"79",1993-11-01,15.2
"80",1993-12-01,13.73
"81",1994-01-01,14.29
"82",1994-02-01,13.8
"83",1994-03-01,13.82
"84",1994-04-01,15.23
"85",1994-05-01,16.19
"86",1994-06-01,16.76
"87",1994-07-01,17.6
"88",1994-08-01,16.89
"89",1994-09-01,15.9
"90",1994-10-01,16.49
"91",1994-11-01,17.19
"92",1994-12-01,15.93
"93",1995-01-01,16.55
"94",1995-02-01,17.11
"95",1995-03-01,17.01
"96",1995-04-01,18.65
"97",1995-05-01,18.35
"98",1995-06-01,17.31
"99",1995-07-01,15.85
"100",1995-08-01,16.1
"101",1995-09-01,16.7
"102",1995-10-01,16.11
"103",1995-11-01,16.86
"104",1995-12-01,17.93
"105",1996-01-01,17.85
"106",1996-02-01,18
"107",1996-03-01,19.85
"108",1996-04-01,20.9
"109",1996-05-01,19.15
"110",1996-06-01,18.46
"111",1996-07-01,19.57
"112",1996-08-01,20.51
"113",1996-09-01,22.63
"114",1996-10-01,24.16
"115",1996-11-01,22.76
"116",1996-12-01,23.78
"117",1997-01-01,23.54
"118",1997-02-01,20.85
"119",1997-03-01,19.13
"120",1997-04-01,17.56
"121",1997-05-01,19.02
"122",1997-06-01,17.58
"123",1997-07-01,18.46
"124",1997-08-01,18.6
"125",1997-09-01,18.46
"126",1997-10-01,19.87
"127",1997-11-01,19.17
"128",1997-12-01,17.18
"129",1998-01-01,15.19
"130",1998-02-01,14.07
"131",1998-03-01,13.1
"132",1998-04-01,13.53
"133",1998-05-01,14.36
"134",1998-06-01,12.21
"135",1998-07-01,12.08
"136",1998-08-01,11.91
"137",1998-09-01,13.34
"138",1998-10-01,12.7
"139",1998-11-01,11.04
"140",1998-12-01,9.82
"141",1999-01-01,11.11
"142",1999-02-01,10.27
"143",1999-03-01,12.51
"144",1999-04-01,15.29
"145",1999-05-01,15.23
"146",1999-06-01,15.86
"147",1999-07-01,19.08
"148",1999-08-01,20.22
"149",1999-09-01,22.54
"150",1999-10-01,22
"151",1999-11-01,24.58
"152",1999-12-01,25.47
"153",2000-01-01,25.51
"154",2000-02-01,27.78
"155",2000-03-01,27.49
"156",2000-04-01,22.76
"157",2000-05-01,27.74
"158",2000-06-01,29.8
