"","date","price"
"1",1987-05-15,18.58
"2",1987-05-22,18.54
"3",1987-05-29,18.6
"4",1987-06-05,18.7
"5",1987-06-12,18.75
"6",1987-06-19,19.01
"7",1987-06-26,18.91
"8",1987-07-03,19.16
"9",1987-07-10,19.57
"10",1987-07-17,20.2
"11",1987-07-24,20.19
"12",1987-07-31,19.86
"13",1987-08-07,20.16
"14",1987-08-14,19.41
"15",1987-08-21,18.5
"16",1987-08-28,17.92
"17",1987-09-04,18.35
"18",1987-09-11,17.93
"19",1987-09-18,18.39
"20",1987-09-25,18.5
"21",1987-10-02,18.56
"22",1987-10-09,18.64
"23",1987-10-16,18.69
"24",1987-10-23,18.98
"25",1987-10-30,18.79
"26",1987-11-06,18.15
"27",1987-11-13,17.74
"28",1987-11-20,17.47
"29",1987-11-27,17.78
"30",1987-12-04,17.8
"31",1987-12-11,17.61
"32",1987-12-18,15.91
"33",1987-12-25,16.61
"34",1988-01-01,17.46
"35",1988-01-08,17.45
"36",1988-01-15,16.44
"37",1988-01-22,16.91
"38",1988-01-29,16.24
"39",1988-02-05,16.14
"40",1988-02-12,16.18
"41",1988-02-19,15.64
"42",1988-02-26,15.16
"43",1988-03-04,14.14
"44",1988-03-11,14.21
"45",1988-03-18,14.48
"46",1988-03-25,15.38
"47",1988-04-01,15.63
"48",1988-04-08,15.49
"49",1988-04-15,16.55
"50",1988-04-22,17.09
"51",1988-04-29,17.04
"52",1988-05-06,16.16
"53",1988-05-13,16.45
"54",1988-05-20,16.46
"55",1988-05-27,16.23
"56",1988-06-03,16.31
"57",1988-06-10,16.18
"58",1988-06-17,15.6
"59",1988-06-24,15.09
"60",1988-07-01,14.49
"61",1988-07-08,14.62
"62",1988-07-15,14.22
"63",1988-07-22,15.37
"64",1988-07-29,15.62
"65",1988-08-05,15.06
"66",1988-08-12,15.22
"67",1988-08-19,14.81
"68",1988-08-26,14.76
"69",1988-09-02,14.3
"70",1988-09-09,13.35
"71",1988-09-16,13.35
"72",1988-09-23,13.09
"73",1988-09-30,12.57
"74",1988-10-07,11.42
"75",1988-10-14,12.55
"76",1988-10-21,13.36
"77",1988-10-28,12.26
"78",1988-11-04,12.48
"79",1988-11-11,12.82
"80",1988-11-18,12.57
"81",1988-11-25,13.3
"82",1988-12-02,14.61
"83",1988-12-09,14.76
"84",1988-12-16,15.38
"85",1988-12-23,15.31
"86",1988-12-30,16.12
"87",1989-01-06,16.59
"88",1989-01-13,16.98
"89",1989-01-20,17.9
"90",1989-01-27,17.33
"91",1989-02-03,16.67
"92",1989-02-10,16.57
"93",1989-02-17,16.88
"94",1989-02-24,17.14
"95",1989-03-03,17.44
"96",1989-03-10,17.65
"97",1989-03-17,18.81
"98",1989-03-24,19.59
"99",1989-03-31,19.91
"100",1989-04-07,19.56
"101",1989-04-14,19.8
"102",1989-04-21,21.09
"103",1989-04-28,20.84
"104",1989-05-05,19.28
"105",1989-05-12,19.04
"106",1989-05-19,18.9
"107",1989-05-26,17.82
"108",1989-06-02,18.05
"109",1989-06-09,18.19
"110",1989-06-16,16.9
"111",1989-06-23,17.24
"112",1989-06-30,18.18
"113",1989-07-07,18.38
"114",1989-07-14,17.72
"115",1989-07-21,17.95
"116",1989-07-28,16.7
"117",1989-08-04,16.24
"118",1989-08-11,16.54
"119",1989-08-18,16.93
"120",1989-08-25,17.02
"121",1989-09-01,17.15
"122",1989-09-08,17.66
"123",1989-09-15,17.94
"124",1989-09-22,17.83
"125",1989-09-29,17.72
"126",1989-10-06,18.59
"127",1989-10-13,18.9
"128",1989-10-20,19.37
"129",1989-10-27,18.75
"130",1989-11-03,19.07
"131",1989-11-10,18.93
"132",1989-11-17,18.72
"133",1989-11-24,18.59
"134",1989-12-01,18.41
"135",1989-12-08,19.24
"136",1989-12-15,19.62
"137",1989-12-22,20.22
"138",1989-12-29,20.93
"139",1990-01-05,22.37
"140",1990-01-12,21.67
"141",1990-01-19,21.05
"142",1990-01-26,20.49
"143",1990-02-02,20.65
"144",1990-02-09,20.26
"145",1990-02-16,19.82
"146",1990-02-23,19.45
"147",1990-03-02,19.17
"148",1990-03-09,18.94
"149",1990-03-16,18.41
"150",1990-03-23,17.81
"151",1990-03-30,18.04
"152",1990-04-06,17.8
"153",1990-04-13,15.89
"154",1990-04-20,15.88
"155",1990-04-27,16.65
"156",1990-05-04,16.17
"157",1990-05-11,16.34
"158",1990-05-18,17.24
"159",1990-05-25,16.12
"160",1990-06-01,15.55
"161",1990-06-08,14.93
"162",1990-06-15,15.01
"163",1990-06-22,14.9
"164",1990-06-29,15.52
"165",1990-07-06,15.39
"166",1990-07-13,15.83
"167",1990-07-20,17.77
"168",1990-07-27,18.91
"169",1990-08-03,20.9
"170",1990-08-10,26.4
"171",1990-08-17,27.18
"172",1990-08-24,30.48
"173",1990-08-31,27.65
"174",1990-09-07,31.09
"175",1990-09-14,32.01
"176",1990-09-21,35.71
"177",1990-09-28,40.79
"178",1990-10-05,37.64
"179",1990-10-12,40.27
"180",1990-10-19,36.28
"181",1990-10-26,30.63
"182",1990-11-02,35.03
"183",1990-11-09,34.13
"184",1990-11-16,32.24
"185",1990-11-23,31.01
"186",1990-11-30,33.98
"187",1990-12-07,29.72
"188",1990-12-14,28.06
"189",1990-12-21,27.67
"190",1990-12-28,27.47
"191",1991-01-04,26.07
"192",1991-01-11,25.33
"193",1991-01-18,25.86
"194",1991-01-25,20.77
"195",1991-02-01,20.72
"196",1991-02-08,20.63
"197",1991-02-15,20.44
"198",1991-02-22,18.13
"199",1991-03-01,18.66
"200",1991-03-08,19.77
"201",1991-03-15,19.28
"202",1991-03-22,18.8
"203",1991-03-29,18.28
"204",1991-04-05,17.95
"205",1991-04-12,19.17
"206",1991-04-19,19.71
"207",1991-04-26,19.63
"208",1991-05-03,19.72
"209",1991-05-10,19.81
"210",1991-05-17,18.9
"211",1991-05-24,18.82
"212",1991-05-31,18.87
"213",1991-06-07,18.55
"214",1991-06-14,17.86
"215",1991-06-21,18.06
"216",1991-06-28,18.2
"217",1991-07-05,18.55
"218",1991-07-12,19.24
"219",1991-07-19,20.02
"220",1991-07-26,19.66
"221",1991-08-02,19.57
"222",1991-08-09,19.52
"223",1991-08-16,19.39
"224",1991-08-23,20.09
"225",1991-08-30,20.17
"226",1991-09-06,20.34
"227",1991-09-13,20.08
"228",1991-09-20,20.47
"229",1991-09-27,20.94
"230",1991-10-04,21.49
"231",1991-10-11,22.11
