"","date","price"
"1",1987-05-01,19.44
"2",1987-06-01,20.07
"3",1987-07-01,21.34
"4",1987-08-01,20.31
"5",1987-09-01,19.53
"6",1987-10-01,19.86
"7",1987-11-01,18.85
"8",1987-12-01,17.28
"9",1988-01-01,17.13
"10",1988-02-01,16.8
"11",1988-03-01,16.2
"12",1988-04-01,17.86
"13",1988-05-01,17.42
"14",1988-06-01,16.53
"15",1988-07-01,15.5
"16",1988-08-01,15.52
"17",1988-09-01,14.54
"18",1988-10-01,13.77
"19",1988-11-01,14.14
"20",1988-12-01,16.38
"21",1989-01-01,18.02
"22",1989-02-01,17.94
"23",1989-03-01,19.48
"24",1989-04-01,21.07
"25",1989-05-01,20.12
"26",1989-06-01,20.05
"27",1989-07-01,19.78
"28",1989-08-01,18.58
"29",1989-09-01,19.59
"30",1989-10-01,20.1
"31",1989-11-01,19.86
"32",1989-12-01,21.1
"33",1990-01-01,22.86
"34",1990-02-01,22.11
"35",1990-03-01,20.39
"36",1990-04-01,18.43
"37",1990-05-01,18.2
"38",1990-06-01,16.7
"39",1990-07-01,18.45
"40",1990-08-01,27.31
"41",1990-09-01,33.51
"42",1990-10-01,36.04
"43",1990-11-01,32.33
"44",1990-12-01,27.28
"45",1991-01-01,25.23
"46",1991-02-01,20.48
"47",1991-03-01,19.9
"48",1991-04-01,20.83
"49",1991-05-01,21.23
"50",1991-06-01,20.19
"51",1991-07-01,21.4
"52",1991-08-01,21.69
"53",1991-09-01,21.89
"54",1991-10-01,23.23
"55",1991-11-01,22.46
"56",1991-12-01,19.5
"57",1992-01-01,18.79
"58",1992-02-01,19.01
"59",1992-03-01,18.92
"60",1992-04-01,20.23
"61",1992-05-01,20.98
"62",1992-06-01,22.39
"63",1992-07-01,21.78
"64",1992-08-01,21.34
"65",1992-09-01,21.88
"66",1992-10-01,21.69
"67",1992-11-01,20.34
"68",1992-12-01,19.41
"69",1993-01-01,19.03
"70",1993-02-01,20.09
"71",1993-03-01,20.32
"72",1993-04-01,20.25
"73",1993-05-01,19.95
"74",1993-06-01,19.09
"75",1993-07-01,17.89
"76",1993-08-01,18.01
"77",1993-09-01,17.5
"78",1993-10-01,18.15
"79",1993-11-01,16.61
"80",1993-12-01,14.52
"81",1994-01-01,15.03
"82",1994-02-01,14.78
"83",1994-03-01,14.68
"84",1994-04-01,16.42
"85",1994-05-01,17.89
"86",1994-06-01,19.06
"87",1994-07-01,19.66
"88",1994-08-01,18.38
"89",1994-09-01,17.45
"90",1994-10-01,17.72
"91",1994-11-01,18.07
"92",1994-12-01,17.16
"93",1995-01-01,18.04
"94",1995-02-01,18.57
"95",1995-03-01,18.54
"96",1995-04-01,19.9
"97",1995-05-01,19.74
"98",1995-06-01,18.45
"99",1995-07-01,17.33
"100",1995-08-01,18.02
"101",1995-09-01,18.23
"102",1995-10-01,17.43
"103",1995-11-01,17.99
"104",1995-12-01,19.03
"105",1996-01-01,18.86
"106",1996-02-01,19.09
"107",1996-03-01,21.33
"108",1996-04-01,23.5
"109",1996-05-01,21.17
"110",1996-06-01,20.42
"111",1996-07-01,21.3
"112",1996-08-01,21.9
"113",1996-09-01,23.97
"114",1996-10-01,24.88
"115",1996-11-01,23.71
"116",1996-12-01,25.23
"117",1997-01-01,25.13
"118",1997-02-01,22.18
"119",1997-03-01,20.97
"120",1997-04-01,19.7
"121",1997-05-01,20.82
"122",1997-06-01,19.26
"123",1997-07-01,19.66
"124",1997-08-01,19.95
"125",1997-09-01,19.8
"126",1997-10-01,21.33
"127",1997-11-01,20.19
"128",1997-12-01,18.33
"129",1998-01-01,16.72
"130",1998-02-01,16.06
"131",1998-03-01,15.12
"132",1998-04-01,15.35
"133",1998-05-01,14.91
"134",1998-06-01,13.72
"135",1998-07-01,14.17
"136",1998-08-01,13.47
"137",1998-09-01,15.03
