"","date","price"
"1",1987-05-15,19.52
"2",1987-05-22,19.85
"3",1987-05-29,19.34
"4",1987-06-05,19.73
"5",1987-06-12,19.88
"6",1987-06-19,20.38
"7",1987-06-26,20.21
"8",1987-07-03,20.46
"9",1987-07-10,21.06
"10",1987-07-17,22.03
"11",1987-07-24,21.5
"12",1987-07-31,21.25
"13",1987-08-07,21.52
"14",1987-08-14,20.8
"15",1987-08-21,19.61
"16",1987-08-28,19.42
"17",1987-09-04,19.56
"18",1987-09-11,19.38
"19",1987-09-18,19.63
"20",1987-09-25,19.57
"21",1987-10-02,19.64
"22",1987-10-09,19.65
"23",1987-10-16,19.82
"24",1987-10-23,19.98
"25",1987-10-30,20.03
"26",1987-11-06,19.17
"27",1987-11-13,18.88
"28",1987-11-20,18.6
"29",1987-11-27,18.83
"30",1987-12-04,18.62
"31",1987-12-11,18.34
"32",1987-12-18,16.35
"33",1987-12-25,16.23
"34",1988-01-01,16.78
"35",1988-01-08,17.6
"36",1988-01-15,16.79
"37",1988-01-22,17.2
"38",1988-01-29,16.92
"39",1988-02-05,17.08
"40",1988-02-12,17.24
"41",1988-02-19,16.7
"42",1988-02-26,16.33
"43",1988-03-04,15.64
"44",1988-03-11,15.74
"45",1988-03-18,16.08
"46",1988-03-25,16.58
"47",1988-04-01,17.07
"48",1988-04-08,16.89
"49",1988-04-15,18.15
"50",1988-04-22,18.16
"51",1988-04-29,18.25
"52",1988-05-06,17.34
"53",1988-05-13,17.51
"54",1988-05-20,17.53
"55",1988-05-27,17.29
"56",1988-06-03,17.55
"57",1988-06-10,17.15
"58",1988-06-17,16.58
"59",1988-06-24,15.95
"60",1988-07-01,15.47
"61",1988-07-08,15.45
"62",1988-07-15,14.64
"63",1988-07-22,15.86
"64",1988-07-29,16.14
"65",1988-08-05,15.45
"66",1988-08-12,15.67
"67",1988-08-19,15.58
"68",1988-08-26,15.54
"69",1988-09-02,15.13
"70",1988-09-09,14.4
"71",1988-09-16,14.75
"72",1988-09-23,14.9
"73",1988-09-30,13.94
"74",1988-10-07,12.85
"75",1988-10-14,14.08
"76",1988-10-21,14.76
"77",1988-10-28,13.44
"78",1988-11-04,13.75
"79",1988-11-11,13.93
"80",1988-11-18,13.75
"81",1988-11-25,14.43
"82",1988-12-02,15.33
"83",1988-12-09,15.61
"84",1988-12-16,16.31
"85",1988-12-23,17.04
"86",1988-12-30,16.99
"87",1989-01-06,17.35
"88",1989-01-13,18.06
"89",1989-01-20,19.05
"90",1989-01-27,17.85
"91",1989-02-03,17.41
"92",1989-02-10,17.39
"93",1989-02-17,18.08
"94",1989-02-24,18.46
"95",1989-03-03,18.4
"96",1989-03-10,18.5
"97",1989-03-17,19.71
"98",1989-03-24,20
"99",1989-03-31,20.4
"100",1989-04-07,20.11
"101",1989-04-14,20.56
